"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2021-05";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.25";"";"";"";"2"
"2021-06";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.26";"";"";"";"2"
"2021-07";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.20";"";"";"";"2"
"2021-08";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.20";"";"";"";"2"
"2021-09";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.22";"";"";"";"2"
"2021-10";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.29";"";"";"";"2"
"2021-11";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.40";"";"";"";"2"
"2021-12";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.45";"";"";"";"2"
"2022-01";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.44";"";"";"";"2"
"2022-02";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.58";"";"";"";"2"
"2022-03";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"3.77";"";"";"";"2"
"2022-04";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"4.19";"";"";"";"2"
"2022-05";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"4.63";"";"";"";"2"
"2022-06";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.05";"";"";"";"2"
"2022-07";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.51";"";"";"";"2"
"2022-08";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.58";"";"";"";"2"
"2022-09";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.64";"";"";"";"2"
"2022-10";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.75";"";"";"";"2"
"2022-11";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.88";"";"";"";"2"
"2022-12";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.89";"";"";"";"2"
"2023-01";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.86";"";"";"";"2"
"2023-02";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.81";"";"";"";"2"
"2023-03";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.81";"";"";"";"2"
"2023-04";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.75";"";"";"";"2"
"2023-05";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.74";"";"";"";"2"
"2023-06";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.85";"";"";"";"2"
